Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Estimated reference length	GC (%)	N50	NG50	N75	NG75	L50	LG50	L75	LG75	# N's per 100 kbp
01_falcon_p_ctg_groups_10_purge_dups_purged	15	15	15	15	13	12	151489568	151489568	151489568	151489568	151448256	151416697	15	41140425	151489568	179629584	35.75	20836640	20524353	19817551	14452349	3	4	5	6	21.66
01_falcon_p_ctg_groups_11_purge_dups_purged	16	16	16	16	14	13	150149377	150149377	150149377	150149377	150108062	150076503	16	27377524	150149377	179629584	35.77	19882372	19882372	19555921	13735472	4	4	5	7	20.80
01_falcon_p_ctg_groups_12_purge_dups_purged	18	18	18	18	16	15	152091173	152091173	152091173	152091173	152049859	152018300	18	27368606	152091173	179629584	35.74	20507676	20507676	14181323	13780553	4	4	6	7	21.24
01_falcon_p_ctg_groups_13_purge_dups_purged	19	19	19	19	17	16	150732824	150732824	150732824	150732824	150691513	150659954	19	27377576	150732824	179629584	35.75	19007577	19007577	14156936	13827602	4	4	6	7	21.69
01_falcon_p_ctg_salsa_purge_dups_purged	168	168	168	166	132	87	150203787	150203787	150203787	150185273	149566482	148028750	168	17993725	150203787	179629584	35.74	7569012	6448009	4666041	1680640	7	9	13	21	36.65
02_falcon_p_h_ctg_groups_10_purge_dups_purged	10	10	10	10	10	10	152363329	152363329	152363329	152363329	152363329	152363329	10	20595631	152363329	179629584	35.73	19079297	18486803	18236050	10122516	4	5	6	8	19.60
02_falcon_p_h_ctg_groups_11_purge_dups_purged	12	12	12	12	11	11	152357714	152357714	152357714	152357714	152342594	152342594	12	20595717	152357714	179629584	35.73	19135958	18473273	17647051	10122489	4	5	6	8	20.26
02_falcon_p_h_ctg_groups_12_purge_dups_purged	13	13	13	13	12	12	152200355	152200355	152200355	152200355	152185235	152185235	13	20569129	152200355	179629584	35.74	18501920	18235615	16961643	10122511	4	5	7	8	20.16
02_falcon_p_h_ctg_groups_13_purge_dups_purged	18	18	18	18	17	16	151770198	151770198	151770198	151770198	151755078	151706684	18	19838917	151770198	179629584	35.74	17052205	17052205	12232347	6251476	5	5	7	9	18.75
02_falcon_p_h_ctg_salsa_purge_dups_purged	179	179	179	178	153	83	152072172	152072172	152072172	152067055	151506668	149046089	179	46667135	152072172	179629584	35.72	11799631	9682640	3797460	1289739	4	5	10	17	16.47
11_arenosa_pilon12_groups_10_purge_dups_purged	309	309	106	35	23	21	155671432	155671432	155116930	154641015	154487592	154416881	182	21316093	155415254	179629584	36.01	15636002	15636002	8570417	6408284	5	5	8	10	22.02
11_arenosa_pilon12_groups_11_purge_dups_purged	312	312	109	38	26	24	155667043	155667043	155112541	154636626	154483204	154412492	185	17132182	155410865	179629584	36.01	11809035	9964856	7577242	6195224	6	7	10	13	20.94
11_arenosa_pilon12_groups_12_purge_dups_purged	313	313	110	39	28	26	155801955	155801955	155247453	154771538	154630769	154560060	186	17148723	155545777	179629584	36.01	11809035	10054277	7846159	6195224	6	7	10	12	21.22
11_arenosa_pilon12_groups_13_purge_dups_purged	317	317	114	42	30	27	155616405	155616405	155061903	154577318	154423895	154319260	190	17143197	155360227	179629584	36.01	14677658	13302660	8309516	4778467	5	6	9	12	20.21
11_arenosa_pilon12_salsa_purge_dups_purged	522	522	318	247	222	146	156437605	156437605	155880796	155404881	155004848	152093729	394	40181750	156179120	179629584	36.02	6437828	6258395	4081282	1758182	6	7	13	19	17.13
12_arenosa_purged_sr_groups_10_purge_dups_purged	251	251	86	37	28	21	149285098	149285098	148839297	148505798	148371542	148079074	147	34361227	149079103	179629584	35.81	17384160	17384160	16310468	13124111	4	4	6	7	9.35
12_arenosa_purged_sr_groups_11_purge_dups_purged	252	252	87	38	29	23	149400883	149400883	148955082	148621583	148487414	148240615	148	34361516	149194888	179629584	35.81	17384180	17384180	16345950	13124186	4	4	6	7	9.83
12_arenosa_purged_sr_groups_12_purge_dups_purged	253	253	88	39	30	24	149336705	149336705	148890904	148557405	148423151	148176353	149	20555752	149130710	179629584	35.81	17383534	16387767	14604684	13124083	4	5	7	8	10.19
12_arenosa_purged_sr_groups_13_purge_dups_purged	258	258	93	44	35	27	149304435	149304435	148858634	148525135	148390880	148062613	154	20495406	149098440	179629584	35.81	17374279	16378264	14603785	13124180	4	5	7	8	9.27
12_arenosa_purged_sr_salsa_purge_dups_purged	328	328	163	114	100	76	149208252	149208252	148762451	148428952	148197871	147210003	224	47605668	149002257	179629584	35.81	13300974	11809204	5945752	2084702	3	4	7	13	21.09
