01_falcon_p_ctg_groups_10_purge_dups_purged	557792	151452183	37.118	0.000194179
01_falcon_p_ctg_groups_11_purge_dups_purged	551757	150113664	37.1267	0.00019379
01_falcon_p_ctg_groups_12_purge_dups_purged	556691	152054329	37.1438	0.000193026
01_falcon_p_ctg_groups_13_purge_dups_purged	548118	150695506	37.1723	0.000191765
01_falcon_p_ctg_salsa_purge_dups_purged	543669	150144383	37.1918	0.000190905
02_falcon_p_h_ctg_groups_10_purge_dups_purged	62674	152329354	46.6437	2.16588e-05
02_falcon_p_h_ctg_groups_11_purge_dups_purged	61214	152322712	46.7458	2.11551e-05
02_falcon_p_h_ctg_groups_12_purge_dups_purged	62779	152165542	46.6317	2.17185e-05
02_falcon_p_h_ctg_groups_13_purge_dups_purged	61223	151737612	46.7285	2.12398e-05
02_falcon_p_h_ctg_salsa_purge_dups_purged	61373	152042880	46.7266	2.12491e-05
11_arenosa_pilon12_groups_10_purge_dups_purged	1261379	155627116	33.6832	0.000428233
11_arenosa_pilon12_groups_11_purge_dups_purged	1263743	155624344	33.675	0.000429046
11_arenosa_pilon12_groups_12_purge_dups_purged	1260498	155758876	33.6899	0.000427569
11_arenosa_pilon12_groups_13_purge_dups_purged	1260136	155574931	33.686	0.000427953
11_arenosa_pilon12_salsa_purge_dups_purged	1266833	156400407	33.686	0.000427957
12_arenosa_purged_sr_groups_10_purge_dups_purged	893790	149264012	35.0024	0.000316054
12_arenosa_purged_sr_groups_11_purge_dups_purged	895089	149379043	34.9994	0.00031627
12_arenosa_purged_sr_groups_12_purge_dups_purged	895035	149314317	34.9978	0.000316389
12_arenosa_purged_sr_groups_13_purge_dups_purged	894749	149283436	34.9983	0.000316353
12_arenosa_purged_sr_salsa_purge_dups_purged	895718	149169624	34.9902	0.000316939
